player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
いも,I,6,F.S.M.アゼランザ,37,原,https://eldersign.jp/img/mi/g/f0/053_fsm_0g7.png,アゼランザ / ダークボルト / ハスタリーザ / ルビーライト / 光のベール,リジェネレイト / 守りのミンネ / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=8&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=104&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=136&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=7&t=1,,,,,
いも,I,6,ダークヤング,24,亜2,https://eldersign.jp/img/mi/p/f0/055_dark-young_2g4.png,くすぐり / ガッシマ / スタンピード / チャージ,セントリー / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=8&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=104&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=136&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=7&t=1,,,,,
いも,I,6,ユロール完,27,原,https://eldersign.jp/img/mi/g/f0/051_old-one_0g4.png,エルフショット / コールドボルト / デルバイス / ミラーズ / ユロール,ミラージュ / 守りのミンネ / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=8&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=104&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=136&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=7&t=1,,,,,
いも,I,5,アトラク＝ナクア,20,原,https://eldersign.jp/img/mi/g/f0/066_atlach-nacha_0g7.png,ゴッサマーチェイン / ダークボルト / ミラーズ / ユロール,クィックオーダー / 地味づくり,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=8&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=104&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=7&t=1,,,,,,
いも,I,1,シムルグ,36,原,https://eldersign.jp/img/mi/g/f0/046_simorgh_0g4.png,アウターキラー / スタンピード / ダブルアタック,戦いのエール / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=72&se=7&t=1,,,,,,,,,,
いも,I,1,パズズ,25,原,https://eldersign.jp/img/mi/g/f0/045_pazuzu_0g4.png,ダブルアタック / チャージ / デルタスラッシュ / ドラゴニックロア,ミラージュ / 命中ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=72&se=7&t=1,,,,,,,,,,
いも,I,1,ペリュトン,42,亜2,https://eldersign.jp/img/mi/p/f0/047_peryton_2g4.png,カラカス / ヒーリング / 光の楔 / 風葬,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=72&se=7&t=1,,,,,,,,,,
いも,I,1,ウルタールの猫,23,原,https://eldersign.jp/img/mi/s/f0/065_cats-of-ulthar_0g7.png,カラカス / ヒーリング / 月光浴,命中ブースト / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=72&se=7&t=1,,,,,,,,,,
いも,I,1,オールドワン,33,原,https://eldersign.jp/img/mi/g/f0/051_old-one_0g4.png,ダークボルト / ミラーズ / ユロール,リジェネレイト / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=136&se=7&t=1,,,,,,,,,,
いも,I,4,フラーユ,31,原,https://eldersign.jp/img/mi/p/f0/058_floweyu_0g1.png,アイスランス / ヒヤデスウィンド / ヒーリング / ファイアボルト,ハートオブフレイム / リジェネレイト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=168&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=232&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=265&se=7&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=267&se=7&t=1,,,,,,,
